Rotacao	Torque	Torque	Potencia	Potencia	Potencia
rpm	Nm	lb-ft	kW	PS	hp
1000	41,4	30,5	4,3	5,9	5,8
1100	47	34,7	5,4	7,4	7,3
1200	51,7	38,1	6,5	8,8	8,7
1300	55,7	41,1	7,6	10,3	10,2
1400	59,1	43,6	8,7	11,8	11,6
1500	62	45,7	9,7	13,2	13,1
1600	64,6	47,6	10,8	14,7	14,5
1700	66,9	49,3	11,9	16,2	16
1800	68,9	50,8	13	17,7	17,4
1900	70,8	52,2	14,1	19,2	18,9
2000	72,4	53,4	15,2	20,6	20,3
2100	73,9	54,5	16,3	22,1	21,8
2200	75,2	55,5	17,3	23,6	23,2
2300	76,4	56,3	18,4	25	24,7
2400	77,6	57,2	19,5	26,5	26,1
2500	78,6	58	20,6	28	27,6
2600	79,5	58,6	21,6	29,4	29
2700	80,4	59,3	22,7	30,9	30,5
2800	81,2	59,9	23,8	32,4	31,9
2900	82	60,5	24,9	33,9	33,4
3000	82,7	61	26	35,3	34,8
3100	83,4	61,5	27,1	36,8	36,3
3200	84	61,9	28,1	38,3	37,7
3300	84,6	62,4	29,2	39,8	39,2
3400	85,2	62,8	30,3	41,3	40,7
3500	85,7	63,2	31,4	42,7	42,1
3600	86,2	63,6	32,5	44,2	43,5
3700	86,6	63,9	33,6	45,6	45
3800	87,1	64,2	34,7	47,1	46,4
3900	87,5	64,5	35,7	48,6	47,9
4000	87,9	64,8	36,8	50,1	49,3
4100	88,3	65,1	37,9	51,6	50,8
4200	88,6	65,3	39	53	52,2
4300	89	65,6	40,1	54,5	53,7
4400	89,3	65,9	41,1	56	55,1
4500	89,6	66,1	42,2	57,4	56,6
4600	89,9	66,3	43,3	58,9	58
4700	90,2	66,5	44,4	60,4	59,5
4800	90,5	66,7	45,5	61,9	61
4900	90,7	66,9	46,5	63,3	62,4
5000	91	67,1	47,6	64,8	63,8
5100	90,9	67	48,5	66	65,1
5200	90,8	67	49,4	67,2	66,3
5300	90,5	66,7	50,2	68,3	67,3
5400	90,2	66,5	51	69,4	68,4
5500	89,7	66,2	51,7	70,3	69,2
5600	89,2	65,8	52,3	71,1	70,1
5700	88,5	65,3	52,8	71,8	70,8
5800	87,8	64,7	53,3	72,5	71,5
5900	86,9	64,1	53,7	73	71,9
6000	85,9	63,4	54	73,4	72,4
6100	84,2	62,1	53,8	73,2	72,1
6200	81,8	60,3	53,1	72,2	71,2
6300	78,9	58,2	52,1	70,8	69,8
6400	75,4	55,6	50,5	68,7	67,7
6500	71,4	52,7	48,6	66,1	65,1
